,id,age,gender,days_to_get_familiar,confirm/contradict
0,12,23,Female,10,1
1,11,21,Female,3,1
2,05,24,Male,5,1
3,22,21,Female,4,1
4,06,23,Male,4,1
5,09,27,Male,3,1
6,07,24,Male,2,1
7,29,23,Male,2,1
8,26,24,Male,5,1
9,10,23,Male,3,1
10,17,23,Male,5,1
11,24,25,Male,2,1
12,23,21,Male,2,1
13,16,33,Female,2,1
14,08,23,Male,4,1
15,15,22,Male,6,1
16,28,22,Female,10,1
17,21,22,Male,10,0
18,19,22,Female,7,1
19,14,20,Male,8,1
20,01,20,Male,0,1
21,04,21,Male,3,1
22,02,23,Male,0,1
23,20,23,Male,,
24,03,24,Female,0,1
25,18,19,Male,3,0
26,27,18,Male,7,0
27,13,19,Male,5,1
28,25,23,Male,2,1
